"Reference","Package","X Position (mm)","Y Position (mm)","Rotation (Degrees)","Side"
"J2","TH","1.75","10.3","270.0","top"
"MOD1","SMD","35.0","7.2","90.0","top"
"D7","SMD","28.3","19.38","270.0","top"
"R32","SMD","43.33","19.56","90.0","top"
"R31","SMD","45.6","18.84","180.0","top"
"R30","SMD","3.98","17.2","180.0","top"
"D2","SMD","1.64","18.05","270.0","top"
"C23","SMD","41.76","19.55","90.0","top"
"R25","SMD","15.6","31.3","0.0","top"
"U1","SMD","18.395517","26.299479","90.0","top"
"J7","TH","79.0054","37.7716","180.0","top"
"J3","TH","67.7","28.9","90.0","top"
"D1","SMD","13.0","18.9","270.0","top"
"R24","SMD","60.447686","33.13583","90.0","top"
"R29","SMD","80.7","29.3","90.0","top"
"D3","SMD","76.7","29.7","270.0","top"
"D4","SMD","76.7","17.7","270.0","top"
"D5","SMD","76.7","5.7","270.0","top"
"D6","SMD","58.547686","28.88083","180.0","top"
"XTAL1","SMD","43.33265","12.098958","90.0","top"
"C1","SMD","10.995517","24.699479","90.0","top"
"C3","SMD","14.995517","24.699479","90.0","top"
"C4","SMD","31.5","29.475","270.0","top"
"C5","SMD","22.595517","22.399479","270.0","top"
"C6","SMD","18.895517","22.399479","270.0","top"
"C7","SMD","36.4","16.0","180.0","top"
"C8","SMD","10.995517","27.899479","270.0","top"
"C9","SMD","14.995517","27.899479","270.0","top"
"C11","SMD","31.5","26.5","90.0","top"
"C12","SMD","29.9","26.5","90.0","top"
"C15","SMD","39.5","16.0","0.0","top"
"C18","SMD","49.243471","21.922623","180.0","top"
"C19","SMD","54.847686","32.78083","270.0","top"
"J1","TH","2.1958","36.0952","270.0","top"
"C2","SMD","12.995517","23.899479","90.0","top"
"C10","SMD","12.995517","28.699479","270.0","top"
"C13","SMD","45.33265","10.898958","270.0","top"
"C14","SMD","45.33265","12.986458","270.0","top"
"C16","SMD","53.143471","21.722623","0.0","top"
"C17","SMD","53.143471","19.522623","0.0","top"
"C20","SMD","57.463439","25.045033","270.0","top"
"C21","SMD","59.763439","25.045033","270.0","top"
"J4","TH","66.1","18.4","0.0","top"
"J5","SMD","19.8","15.9","270.0","top"
"L1","SMD","51.947686","26.68083","180.0","top"
"Q1","SMD","16.895517","33.899479","0.0","top"
"Q2","SMD","11.5","33.8","270.0","top"
"R1","SMD","24.4","29.4","0.0","top"
"R2","SMD","24.4","27.8","0.0","top"
"R3","SMD","19.7","32.475","90.0","top"
"R4","SMD","24.4","31.0","180.0","top"
"R5","SMD","24.4","26.2","180.0","top"
"R6","SMD","21.3","32.5","270.0","top"
"R7","SMD","22.1","28.6","90.0","top"
"R8","SMD","14.295517","33.999479","270.0","top"
"R9","SMD","17.895517","30.499479","90.0","top"
"R10","SMD","17.295517","22.424479","270.0","top"
"R11","SMD","36.4","17.6","180.0","top"
"R12","SMD","20.995517","22.399479","90.0","top"
"R13","SMD","35.075","32.3","180.0","top"
"R14","SMD","39.5","28.625","90.0","top"
"R15","SMD","38.925","25.1","0.0","top"
"R16","SMD","35.625","25.1","0.0","top"
"R17","SMD","8.8","34.0","270.0","top"
"R18","SMD","28.3","16.4","90.0","top"
"R19","SMD","17.575","10.6","180.0","top"
"R20","SMD","33.4","17.6","180.0","top"
"R21","SMD","31.1","16.7","270.0","top"
"R22","SMD","59.047686","35.88083","0.0","top"
"R23","SMD","52.247686","33.58083","0.0","top"
"C22","SMD","61.963439","24.945033","270.0","top"
"R26","SMD","62.4","29.6","90.0","top"
"TH2","SMD","33.4","16.0","0.0","top"
"U2","SMD","35.75","28.65","0.0","top"
"U3","SMD","57.497686","32.58083","90.0","top"
